Unnamed: 0,Square,Price,Room,Floor,Building floor,Renovation,Material,Address,Lift,Bathroom,Washing machine,TV,Microwave oven,Playground,Furniture,Refrigerator,Air conditioner,Wifi,Cable,Security,Video surveillance,Parking space,Latitude,Longitude
83,38,53500,1,3,4,Евроремонт,Панельный,"город Ташкент, Юнусабадский район, 1-й квартал, проспект Амира Темура",0,1,1,1,0,0,0,1,1,1,0,0,0,0,69.283447,69.283447
84,75,125000,3,3,4,Евроремонт,Другое,"город Ташкент, Яккасарайский район, махаллинский сход граждан Ракат, улица Шота Руставели",0,0,0,1,1,0,1,1,1,0,0,0,0,1,69.241935,69.241935
85,60,135000,2,4,4,Евроремонт,Кирпичный,"город Ташкент, Мирабадский район, махаллинский сход граждан Айбек, улица Шахрисабз",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.276476,69.276476
86,37,65000,1,4,9,Евроремонт,Блочный,"город Ташкент, Яккасарайский район, махаллинский сход граждан Хамид Сулаймонов, улица Шота Руставели",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.241935,69.241935
87,112,115000,4,7,9,Средний,Блочный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Нур, улица Шастри",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.291028,69.291028
88,78,79500,3,4,5,Евроремонт,Панельный,"город Ташкент, Юнусабадский район, 10-й квартал",0,1,0,0,0,1,1,0,1,1,1,0,0,0,69.285118,69.285118
89,50,75000,2,3,4,Евроремонт,Кирпичный,"город Ташкент, Юнусабадский район, махаллинский сход граждан Адолат",0,1,1,1,1,1,1,1,1,1,1,1,1,1,69.279386,69.279386
90,50,54500,2,2,4,Требует ремонта,Панельный,"город Ташкент, Юнусабадский район, 7-й квартал",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.269945,69.269945
91,60,82000,3,4,5,Авторский проект,Кирпичный,"город Ташкент, Чиланзарский район, махаллинский сход граждан Лутфий, площадь Актепа",0,0,1,1,0,1,1,1,1,1,1,0,1,1,69.210908,69.210908
92,33.23,36000,1,2,3,Средний,Кирпичный,"город Ташкент, Яшнободский район, махаллинский сход граждан Ахмад Яссавий, улица Алимкент",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.330869,69.330869
93,72,82000,2,2,3,Средний,Кирпичный,"город Ташкент, Яшнободский район, махаллинский сход граждан Гузал, улица Гузаль",0,1,1,1,1,1,1,1,1,1,0,0,0,1,69.369092,69.369092
94,65,85000,3,4,5,Евроремонт,Монолитный,"город Ташкент, Чиланзарский район, махаллинский сход граждан Навбахор",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.204763,69.204763
95,152,215000,3,3,9,Евроремонт,Панельный,"город Ташкент, Мирабадский район, махаллинский сход граждан Айбек, улица Айбека",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.278138,69.278138
96,64,72000,3,1,3,Евроремонт,Панельный,"город Ташкент, Учтепинский район, 13-й квартал",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.186231,69.186231
97,126,175000,4,5,6,Черновая отделка,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Лашкарбеги, улица Кары-Ниязи",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.296131,69.296131
98,105,100000,4,10,10,Требует ремонта,Кирпичный,"город Ташкент, Яшнободский район, махаллинский сход граждан Машинасозлар, улица Махтумкули",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.31018,69.31018
99,75,80000,3,3,4,Средний,Кирпичный,"город Ташкент, Учтепинский район, махаллинский сход граждан Нурабад, улица Маданият",0,1,0,0,0,1,0,0,0,1,1,0,1,1,69.168759,69.168759
100,44,42000,2,5,10,Средний,Блочный,"город Ташкент, Янгихаётский район, махаллинский сход граждан Хушнуд, улица Кипчак",1,1,0,0,0,0,1,0,1,1,0,0,1,0,69.217654,69.217654
101,37,44000,1,2,7,Средний,Монолитный,"город Ташкент, Янгихаётский район, махаллинский сход граждан Янги Чоштепа, улица Узар",1,1,0,1,0,1,1,1,1,1,1,1,1,1,69.185943,69.185943
102,79,77000,3,5,5,Евроремонт,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Минглола",0,1,1,1,0,0,1,0,1,0,1,0,0,0,69.355932,69.355932
103,86,92000,4,1,9,Авторский проект,Панельный,"город Ташкент, Яшнободский район, махаллинский сход граждан Яшнобод, улица Лисунова",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.343176,69.343176
104,47,50200,2,4,4,Требует ремонта,Панельный,"город Ташкент, Чиланзарский район, 8-й квартал",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.20435,69.20435
105,47,54600,2,2,4,Средний,Панельный,"город Ташкент, Учтепинский район, махаллинский сход граждан Кургантепа",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.192887,69.192887
