Unnamed: 0,Square,Price,Room,Floor,Building floor,Renovation,Material,Address,Lift,Bathroom,Washing machine,TV,Microwave oven,Playground,Furniture,Refrigerator,Air conditioner,Wifi,Cable,Security,Video surveillance,Parking space,Latitude,Longitude
183,80,66000,3,1,8,Авторский проект,Кирпичный,"город Ташкент, Яшнободский район, махаллинский сход граждан Хосиятли, улица Иззат",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.341954,69.341954
184,62,41000,2,2,2,Средний,Кирпичный,"Ташкентская область, Чирчик, проспект Алишера Навои",0,1,1,1,1,1,1,1,1,1,1,0,0,1,69.574492,69.574492
185,100,71000,4,8,9,Средний,Панельный,"город Ташкент, Янгихаётский район, массив Дустлик-2",1,1,0,0,0,1,0,0,1,1,1,0,0,1,69.208365,69.208365
186,28,40500,1,4,4,Средний,Кирпичный,"город Ташкент, Яккасарайский район, махаллинский сход граждан Яккасарай, Малая кольцевая дорога",0,0,0,0,0,1,0,0,0,1,1,0,0,1,69.27767,69.27767
187,70,85000,3,3,4,Авторский проект,Кирпичный,"город Ташкент, Чиланзарский район, махаллинский сход граждан Катта Домбрабад, улица Наккашлык",0,1,1,1,0,1,1,1,1,1,1,0,0,0,69.20117,69.20117
188,96,85000,3,8,10,Черновая отделка,Кирпичный,"город Ташкент, Яккасарайский район, махаллинский сход граждан Мерос, улица Богибустан",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.233725,69.233725
189,70,82000,2,6,9,Средний,Панельный,"город Ташкент, Мирабадский район, махаллинский сход граждан Айбек, улица Саида Барака",1,1,1,1,1,1,1,1,1,1,1,0,0,1,69.283608,69.283608
190,135,94500,3,10,10,Черновая отделка,Кирпичный,"город Ташкент, Шайхантахурский район, жилой комплекс Кукча дарвоза, улица Кукча Дарвоза",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.212597,69.212597
191,65,101988,3,2,4,Евроремонт,Кирпичный,"город Ташкент, Мирабадский район, махаллинский сход граждан Истиклолабад, улица Сарыкуль",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.288639,69.288639
192,69,65000,3,4,5,Средний,Кирпичный,"город Ташкент, Сергелийский район, массив Учувчилар Шахарчаси",0,0,1,1,0,1,1,1,0,1,1,0,0,0,69.280608,69.280608
193,49.5,49900,2,2,4,Евроремонт,Кирпичный,"Самаркандская область, Самарканд, улица Мирзо Улугбека",0,1,1,1,1,1,1,1,1,0,0,0,0,1,66.945168,66.945168
194,84,65500,3,9,9,Средний,Панельный,"город Ташкент, Юнусабадский район, 9-й квартал",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.278039,69.278039
195,26,40000,1,1,4,Авторский проект,Кирпичный,"город Ташкент, Чиланзарский район, махаллинский сход граждан Катартал",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.201044,69.201044
196,52,27500,2,1,4,Средний,Другое,"Джизакская область, Джизак, махаллинский сход граждан Жиззахлик, улица Хавастлик",0,0,0,0,0,1,0,0,0,0,0,0,0,0,67.817288,67.817288
197,55,61500,2,3,4,Требует ремонта,Кирпичный,"город Ташкент, Юнусабадский район, махалля Отчопар-1, проспект Амира Темура",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.287049,69.287049
198,74,140000,3,1,4,Требует ремонта,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Мустакиллик, улица Истиклол",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.279503,69.279503
199,44,57500,2,4,8,Евроремонт,Кирпичный,"город Ташкент, Яшнободский район, махаллинский сход граждан Баркамол, улица Хосият",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.346481,69.346481
200,113,125000,4,8,10,Черновая отделка,Кирпичный,"город Ташкент, Яккасарайский район, махаллинский сход граждан Дамарык, улица Кичик Бешагач",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.266558,69.266558
201,90,80000,4,5,5,Евроремонт,Панельный,"город Ташкент, Сергелийский район, махаллинский сход граждан Нурхаёт",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.234201,69.234201
202,90,120000,4,3,4,Евроремонт,Панельный,"город Ташкент, Учтепинский район, жилой комплекс Фарход",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.1752,69.1752
203,60,75900,3,2,4,Авторский проект,Кирпичный,"город Ташкент, Чиланзарский район, 1-й квартал",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.228802,69.228802
204,65,75000,3,3,5,Требует ремонта,Панельный,"город Ташкент, Мирзо-Улугбекский район, массив Буз-1, улица Мусаввирлар",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.327985,69.327985
205,27,31500,1,2,4,Требует ремонта,Кирпичный,"город Ташкент, Юнусабадский район, махаллинский сход граждан Хусниабад",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.285683,69.285683
206,112,106000,5,3,5,Средний,Панельный,"город Ташкент, Юнусабадский район, 18-й квартал",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.317628,69.317628
207,30,52000,1,3,4,Евроремонт,Панельный,"город Ташкент, Юнусабадский район, 3-й квартал",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.292933,69.292933
208,48,87000,2,10,14,Евроремонт,Кирпичный,"город Ташкент, Яккасарайский район, Prestige garden turar-joy majmuasi",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.228308,69.228308
209,33,45000,2,4,4,Средний,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Элабад",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.332414,69.332414
210,47,105000,2,7,12,Авторский проект,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, жилой комплекс Mirzo Ulugbek",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.326916,69.326916
211,45,50000,2,7,9,Черновая отделка,Панельный,"город Ташкент, Юнусабадский район, 11-й квартал",1,1,0,0,0,1,0,0,0,1,0,0,0,1,69.289968,69.289968
212,55,53000,2,4,4,Требует ремонта,Панельный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Элобод",0,1,0,0,0,0,0,0,0,1,0,0,0,1,69.332414,69.332414
213,70,71000,3,4,4,Средний,Панельный,"город Ташкент, Юнусабадский район, махаллинский сход граждан Ахилобод, улица Ниязбек",0,1,0,0,0,1,0,0,0,1,0,0,0,1,69.297748,69.297748
214,30,28000,1,3,9,Требует ремонта,Панельный,"Ташкентская область, городской посёлок Назарбек, 2-й проезд Коракамиш",1,0,0,0,0,1,0,0,0,0,0,0,0,1,69.133877,69.133877
215,38,41500,1,5,5,Средний,Панельный,"город Ташкент, Юнусабадский район, махаллинский сход граждан Юртабад",0,1,0,0,0,1,0,0,0,0,0,0,0,1,69.31716,69.31716
216,140,175000,5,1,12,Евроремонт,Панельный,"город Ташкент, Шайхантахурский район, махаллинский сход граждан Чакар, улица Фурката",1,0,1,1,0,0,1,0,1,1,0,0,0,0,69.242978,69.242978
217,77,155000,3,3,4,Авторский проект,Кирпичный,"город Ташкент, Мирабадский район, махаллинский сход граждан Мингурик, проспект Амира Темура",0,0,1,1,0,0,1,1,1,1,0,0,0,0,69.287049,69.287049
218,128,180000,3,4,12,Евроремонт,Монолитный,"город Ташкент, Мирабадский район, махалля Миробод, улица Нукус",1,0,1,1,0,0,1,1,1,1,0,0,0,0,69.274194,69.274194
219,90,115000,4,3,5,Средний,Кирпичный,"город Ташкент, Алмазарский район, махаллинский сход граждан Себзар",0,1,0,0,0,0,0,0,0,1,0,0,0,0,69.248781,69.248781
220,50,56555,2,4,4,Евроремонт,Панельный,"город Ташкент, Чиланзарский район, махаллинский сход граждан Мехржон",0,1,0,0,0,1,1,1,1,1,1,0,0,1,69.191423,69.191423
221,56,59555,2,2,4,Евроремонт,Кирпичный,"город Ташкент, Учтепинский район, махаллинский сход граждан Гузар",0,1,0,0,0,1,1,0,0,1,1,0,0,1,69.191612,69.191612
222,52,56555,2,3,4,Средний,Панельный,"город Ташкент, Учтепинский район, махаллинский сход граждан Бирлик",0,1,1,1,0,1,1,1,1,1,1,0,0,1,69.17325,69.17325
223,80,85000,3,4,5,Евроремонт,Панельный,"город Ташкент, Сергелийский район, массив Учувчилар Шахарчаси, улица Аэропорт",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.28024,69.28024
224,63,79800,2,4,9,Евроремонт,Панельный,"город Ташкент, Мирабадский район, махаллинский сход граждан Фуркат, улица Сайхун",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.302392,69.302392
225,43,42000,2,2,2,Средний,Кирпичный,"город Ташкент, Мирабадский район, махаллинский сход граждан Абдурауф Фитрат, улица Эски-Сарикул",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.296257,69.296257
226,60,58000,2,4,4,Средний,Другое,"город Ташкент, Мирабадский район, махаллинский сход граждан Фуркат, улица Таллимаржон",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.298979,69.298979
227,55,41500,2,2,2,Средний,Кирпичный,"город Ташкент, Яшнободский район, махаллинский сход граждан Жаркургон, улица Захидова",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.318229,69.318229
228,30,36000,1,2,3,Средний,Кирпичный,"город Ташкент, Мирабадский район, махаллинский сход граждан Заминобод, улица Мирзы Джахангира",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.272613,69.272613
229,2,695.14,1,1,1,Средний,Другое,"город Ташкент, Чиланзарский район, махаллинский сход граждан Бешкурган, улица Бунёд",0,0,0,0,0,0,0,0,0,1,0,1,1,1,69.185512,69.185512
230,45,50000,2,2,4,Требует ремонта,Панельный,"город Ташкент, Яшнободский район, махаллинский сход граждан Авиасозлар, 2-й проезд Авиасозлар",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.342592,69.342592
231,265,230000,4,4,4,Евроремонт,Кирпичный,"город Ташкент, Мирабадский район, махаллинский сход граждан Айбек, улица Фидокор",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.276709,69.276709
232,38,29200,2,1,1,Евроремонт,Кирпичный,"город Ташкент, Мирабадский район, махаллинский сход граждан Банокатий, улица Сарыкуль",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.288639,69.288639
233,73,85000,3,6,9,Евроремонт,Панельный,"город Ташкент, Алмазарский район, махаллинский сход граждан Юкары Себзар",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.250119,69.250119
234,50,51500,1,7,10,Черновая отделка,Кирпичный,"город Ташкент, Чиланзарский район, махаллинский сход граждан Домбрабад, улица Гавхар",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.204323,69.204323
235,78,84500,3,2,5,Авторский проект,Панельный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Аль-Фараби",0,1,1,1,1,1,1,1,1,1,1,0,0,0,69.388675,69.388675
236,65,84000,2,7,9,Средний,Панельный,"город Ташкент, Шайхантахурский район, массив Хадра, улица Себзар",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.249706,69.249706
237,62,75000,2,7,9,Средний,Панельный,"город Ташкент, Алмазарский район, махаллинский сход граждан Хастимам, улица Себзар",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.249706,69.249706
238,60,58000,2,9,9,Требует ремонта,Панельный,"город Ташкент, Мирзо-Улугбекский район, Oq saroy turar-joy majmuasi, 3-й тупик Паркент",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.333671,69.333671
239,40,9500,1,7,9,Черновая отделка,Монолитный,"Бухарская область, Каган, проспект Бухара",1,0,0,0,0,0,0,0,0,0,0,0,0,0,64.536524,64.536524
240,83,83000,4,3,5,Средний,Панельный,"город Ташкент, Мирзо-Улугбекский район, массив Феруза-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.359318,69.359318
241,100,99000,3,5,7,Требует ремонта,Кирпичный,"город Ташкент, Шайхантахурский район, махаллинский сход граждан Караташ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.234506,69.234506
242,73,62050,2,7,12,Черновая отделка,Кирпичный,"город Ташкент, Яшнободский район, махаллинский сход граждан Бойкургон, улица Султанали Машхади",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.314232,69.314232
243,65,70750,2,5,9,Евроремонт,Монолитный,"город Ташкент, Чиланзарский район, махаллинский сход граждан Бурижар",1,1,1,1,0,1,1,1,1,1,1,0,0,1,69.190947,69.190947
244,28,21000,1,4,4,Евроремонт,Кирпичный,"Андижанская область, Андижан, махаллинский сход граждан Узбекистон 20 Йиллиги",0,0,0,0,0,1,0,0,0,0,0,0,0,0,72.343872,72.343872
245,125,175000,3,4,12,Евроремонт,Монолитный,"город Ташкент, Мирабадский район, махаллинский сход граждан Салор, улица Нукус",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.274194,69.274194
246,120,160000,5,7,9,Средний,Панельный,"город Ташкент, Мирабадский район, махаллинский сход граждан Фаровон, улица Афросиаб",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.263324,69.263324
247,50,62777,2,3,4,Евроремонт,Панельный,"город Ташкент, Учтепинский район, махаллинский сход граждан Богистан",0,1,0,0,0,1,0,0,0,1,1,0,0,1,69.191693,69.191693
248,98,120000,4,5,9,Евроремонт,Панельный,"город Ташкент, Яшнободский район, махаллинский сход граждан Дустобод, улица Паркент",1,0,1,0,0,1,1,1,1,1,1,0,1,1,69.323134,69.323134
249,30,25000,1,2,4,Средний,Кирпичный,"город Ташкент, Сергелийский район, махаллинский сход граждан Дарёбуйи, 3-й проезд Нилуфар",0,0,1,1,1,1,1,0,1,1,1,0,0,0,69.252491,69.252491
250,158,140000,6,7,8,Черновая отделка,Другое,"город Ташкент, Мирзо-Улугбекский район, массив Паркент",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.322209,69.322209
251,140,189000,4,9,10,Евроремонт,Другое,"город Ташкент, Мирабадский район, махаллинский сход граждан Карасу, Фергана Йули",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.312462,69.312462
252,116,130000,3,4,4,Средний,Кирпичный,"город Ташкент, Чиланзарский район, квартал И",0,1,1,0,0,1,1,1,1,1,1,0,1,1,69.226961,69.226961
253,50,51000,2,4,4,Средний,Панельный,"город Ташкент, Чиланзарский район, 10-й квартал массива Чиланзар",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.197819,69.197819
254,30,55000,1,1,4,Средний,Кирпичный,"город Ташкент, Шайхантахурский район, массив Ц-12, улица Лабзак",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.263603,69.263603
255,102,167000,4,2,8,Евроремонт,Другое,"город Ташкент, Яшнободский район, массив Ташсельмаш, Tashselmash ko'chasi",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.308105,69.308105
256,50,135000,2,7,25,Евроремонт,Другое,"город Ташкент, Мирзо-Улугбекский район, площадь Хамида Алимджана, проспект Мустакиллик",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.298404,69.298404
257,90,155000,2,6,7,Евроремонт,Другое,"город Ташкент, Мирабадский район, махаллинский сход граждан Биродарлик, улица Гоголя",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.275038,69.275038
258,47,63850,2,2,4,Евроремонт,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Катта Ялангач Ата, улица Тимура Малика",0,0,0,0,0,1,0,0,0,1,0,0,0,0,69.364762,69.364762
259,58,54500,2,3,9,Требует ремонта,Панельный,"город Ташкент, Юнусабадский район, махаллинский сход граждан Мингчинар",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.282818,69.282818
260,59,27500,2,2,4,Средний,Кирпичный,"Ферганская область, Фергана, махаллинский сход граждан Гульзар, улица Пахтаой",0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.778068,71.778068
261,50,60000,2,1,4,Евроремонт,Панельный,"город Ташкент, Юнусабадский район, махаллинский сход граждан Янги Хаёт",0,1,1,1,0,0,1,1,1,1,0,0,0,0,69.296355,69.296355
262,90,100000,3,1,4,Требует ремонта,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Алпомиш, улица Буюк Ипак Йули",0,0,0,0,0,1,0,0,0,1,0,0,0,1,69.370763,69.370763
263,30,38000,1,3,4,Средний,Кирпичный,"город Ташкент, Мирабадский район, махаллинский сход граждан Фуркат, улица Эски-Сарикул",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.296257,69.296257
264,171,136800,4,4,4,Черновая отделка,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Олтинтепа, улица Турт Арык",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.343885,69.343885
265,85,160000,4,3,4,Средний,Кирпичный,"город Ташкент, Яккасарайский район, махаллинский сход граждан Юнус Раджаби, улица Юнуса Раджаби",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.259767,69.259767
266,50,70250,2,1,4,Евроремонт,Панельный,"город Ташкент, Чиланзарский район, махаллинский сход граждан Кутарма",0,1,1,1,1,1,1,1,1,1,1,0,0,1,69.197891,69.197891
267,60,77700,2,3,5,Евроремонт,Панельный,"город Ташкент, Яшнободский район, махаллинский сход граждан Ватандош",0,1,1,1,1,1,1,1,1,1,0,1,1,1,69.360046,69.360046
268,57.6,60500,2,2,4,Средний,Кирпичный,"город Ташкент, Алмазарский район, махаллинский сход граждан Гульсарай",0,1,0,0,0,1,1,0,1,1,1,0,0,1,69.238531,69.238531
269,80,130000,3,3,4,Евроремонт,Кирпичный,"город Ташкент, Яккасарайский район, махаллинский сход граждан Шахжахан, улица Шота Руставели",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.241935,69.241935
270,58,55000,2,5,5,Средний,Панельный,"город Ташкент, Яшнободский район, махаллинский сход граждан Мохинур",0,1,1,1,0,0,1,1,1,1,0,0,0,0,69.365642,69.365642
271,53.62,75000,2,1,7,Средний,Кирпичный,"город Ташкент, Янгихаётский район, массив Сергели-IIIа, улица Кургантепа",1,1,0,0,0,1,1,0,0,1,1,0,0,0,69.208994,69.208994
272,70,110000,3,4,5,Евроремонт,Кирпичный,"город Ташкент, Яккасарайский район, махаллинский сход граждан Богсарай, улица Шота Руставели",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.241935,69.241935
273,125,100000,3,4,8,Средний,Кирпичный,"город Ташкент, Янгихаётский район, 8-й квартал",1,1,0,0,0,1,0,0,1,0,0,0,1,1,69.218759,69.218759
274,50,51500,1,7,10,Черновая отделка,Кирпичный,"город Ташкент, Чиланзарский район, махаллинский сход граждан Яккабог, улица Сугалли-ота",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.17528,69.17528
275,68,75000,3,5,9,Средний,Монолитный,"город Ташкент, Юнусабадский район, массив Киёт",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.27803,69.27803
276,28,72000,1,4,4,Авторский проект,Кирпичный,"город Ташкент, Яккасарайский район, махалля Юнус Ражабий, площадь Космонавтов",0,0,1,1,0,0,1,1,1,1,0,0,0,0,69.264546,69.264546
277,34,59000,2,3,4,Авторский проект,Кирпичный,"город Ташкент, Чиланзарский район, 18-й квартал",0,0,0,1,0,0,1,1,1,1,0,0,0,0,69.191315,69.191315
278,60,77500,3,3,4,Средний,Кирпичный,"город Ташкент, Яшнободский район, 58а Военный Городок",0,0,0,0,0,0,1,1,0,0,0,0,0,0,69.370727,69.370727
279,66.89,52000,3,1,4,Средний,Кирпичный,"город Ташкент, Бектемирский район, махаллинский сход граждан Забардаст, Bektemir shoh ko'chasi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.334246,69.334246
280,41.5,68000,1,4,16,Авторский проект,Монолитный,"город Ташкент, Мирзо-Улугбекский район, O'z mahal TJM",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.326916,69.326916
281,113,115000,4,7,9,Средний,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Нур",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.294406,69.294406
282,63,79000,2,2,2,Авторский проект,Кирпичный,"город Ташкент, Яшнободский район, махаллинский сход граждан Жаркургон, улица Джаркурган",0,1,1,1,1,0,1,1,1,1,1,0,1,1,69.329027,69.329027
283,100,73000,4,8,9,Требует ремонта,Панельный,"город Ташкент, Сергелийский район, массив Сергели-VIIа, улица Мирзы Турсунзаде",1,0,0,0,0,1,0,0,0,1,0,0,0,0,69.21018,69.21018
284,100,100000,5,4,5,Евроремонт,Монолитный,"город Ташкент, Учтепинский район, махаллинский сход граждан Алихонтура Согуний",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.156883,69.156883
285,80,380000,3,1,8,Авторский проект,Кирпичный,"город Ташкент, Шайхантахурский район, жилой комплекс Гарденс",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.246724,69.246724
286,52,72000,2,3,5,Евроремонт,Панельный,"город Ташкент, Яккасарайский район, массив Кушбеги",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.242133,69.242133
287,72,76000,3,3,9,Средний,Панельный,"город Ташкент, Чиланзарский район, махаллинский сход граждан Катта-Казирабад, улица Кирк-Киз",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.218436,69.218436
288,71,85000,3,4,4,Евроремонт,Кирпичный,"город Ташкент, Чиланзарский район, махаллинский сход граждан Катта-Казирабад",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.212668,69.212668
289,64.79,58000,3,2,4,Евроремонт,Панельный,"Самаркандская область, Самарканд, площадь Регистан",0,1,1,0,0,1,0,0,0,0,0,0,0,1,66.975854,66.975854
290,53,95000,2,1,8,Требует ремонта,Панельный,"город Ташкент, Яккасарайский район, махаллинский сход граждан Бабур, улица Бабура",1,1,0,0,0,1,0,0,0,0,0,0,0,1,69.254054,69.254054
291,83,67000,3,3,3,Требует ремонта,Кирпичный,"город Ташкент, Мирабадский район, махаллинский сход граждан Биродарлик, улица Дашнобод",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.276125,69.276125
292,28,53500,1,2,14,Евроремонт,Монолитный,"город Ташкент, Яшнободский район, жилой комплекс Беш чинор, улица Махтумкули",1,0,0,1,0,1,1,1,1,0,0,0,0,0,69.31018,69.31018
293,44,60000,1,1,4,Средний,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Подшобог, улица Буюк Ипак Йули",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.370763,69.370763
294,47,65000,2,5,5,Средний,Кирпичный,"город Ташкент, Чиланзарский район, махаллинский сход граждан Катта-Казирабад, улица Чапаната",0,0,0,0,0,1,0,0,0,1,0,0,0,0,69.210881,69.210881
295,207,280000,4,9,10,Евроремонт,Кирпичный,"город Ташкент, Юнусабадский район, махаллинский сход граждан Бадамзар, улица Бадамзар",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.292879,69.292879
296,94,98000,2,5,5,Евроремонт,Кирпичный,"город Ташкент, Чиланзарский район, махаллинский сход граждан Чарх Камалан-1, улица Новза",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.234623,69.234623
297,287,243950,6,3,3,Евроремонт,Кирпичный,"Самаркандская область, Самарканд, махаллинский сход граждан Богбонлар, улица Беруни",0,1,1,1,1,1,1,1,1,1,0,1,1,1,66.922467,66.922467
298,33,52000,1,5,5,Евроремонт,Панельный,"город Ташкент, Мирзо-Улугбекский район, массив Буз-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.33033,69.33033
299,60,42000,2,1,1,Евроремонт,Кирпичный,"город Ташкент, Мирабадский район, махаллинский сход граждан Заминобод, улица Ок Йул",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.273341,69.273341
300,80,63000,3,5,9,Евроремонт,Блочный,"город Ташкент, Сергелийский район, массив Курувчи",1,1,0,0,0,1,0,0,0,1,0,0,0,1,69.263729,69.263729
301,56,75000,2,5,5,Средний,Панельный,"город Ташкент, Алмазарский район, махаллинский сход граждан Себзар, Sebzor dahasi",0,1,1,1,0,1,1,1,1,1,1,0,0,1,69.250119,69.250119
302,72.85,67000,2,1,9,Средний,Кирпичный,"город Ташкент, Янгихаётский район, махаллинский сход граждан Орият",1,1,1,1,1,1,1,1,1,1,0,0,1,1,69.192564,69.192564
303,55,61500,2,3,4,Требует ремонта,Панельный,"город Ташкент, Юнусабадский район, махалля Отчопар-1, Шахристанская улица",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.290391,69.290391
304,43,80000,2,2,2,Средний,Кирпичный,"город Ташкент, Яккасарайский район, махаллинский сход граждан Юнус Раджаби, улица Самарканд",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.264816,69.264816
305,60,62500,2,4,6,Евроремонт,Кирпичный,"город Ташкент, Сергелийский район, массив Узгарыш, улица Мирзы Турсунзаде",1,1,0,0,0,1,0,0,0,0,0,1,0,1,69.21018,69.21018
306,31,32000,2,3,4,Средний,Кирпичный,"город Ташкент, Яшнободский район, махаллинский сход граждан Фазогир, улица Иззат",0,0,0,0,0,0,0,0,0,1,0,0,0,0,69.341954,69.341954
307,50,75000,2,3,4,Евроремонт,Кирпичный,"город Ташкент, Юнусабадский район, махаллинский сход граждан Биллур",1,1,1,1,1,1,1,1,1,1,1,1,1,1,69.281147,69.281147
308,31.88,32000,1,1,2,Авторский проект,Другое,"город Ташкент, Янгихаётский район, 2-й квартал",0,0,0,0,0,1,0,0,0,1,0,0,0,0,69.221095,69.221095
309,42.3,65000,2,3,7,Евроремонт,Кирпичный,"город Ташкент, Чиланзарский район, махаллинский сход граждан Богзар",1,0,1,1,0,1,1,1,1,1,0,1,1,0,69.207225,69.207225
310,96,120000,3,9,12,Евроремонт,Панельный,"город Ташкент, Чиланзарский район, микрорайон Алмазар, улица Фурката",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.242978,69.242978
311,140,160000,4,4,4,Авторский проект,Кирпичный,"город Ташкент, Чиланзарский район, махаллинский сход граждан Чарх Камалан-1, Хивинская улица",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.229808,69.229808
312,12,16300,1,7,9,Средний,Панельный,"город Ташкент, Яшнободский район, махаллинский сход граждан Наврузобод",1,1,0,0,0,0,0,0,0,0,0,0,0,0,69.347613,69.347613
313,105,105000,4,8,9,Евроремонт,Кирпичный,"город Ташкент, Яккасарайский район, массив Башлык",1,1,1,1,1,0,1,1,1,1,1,0,0,0,69.251709,69.251709
314,33.12,39850,1,4,4,Требует ремонта,Панельный,"город Ташкент, Мирабадский район, махаллинский сход граждан Чинар",0,1,0,0,0,1,0,0,0,1,0,0,0,0,69.313747,69.313747
315,50,60000,2,3,7,Средний,Кирпичный,"город Ташкент, Сергелийский район, массив Сергели-III",1,0,0,0,0,1,0,0,0,0,0,0,0,1,69.233393,69.233393
316,80,85000,4,3,4,Средний,Панельный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Уйгониш",0,1,1,1,1,1,1,1,1,1,1,0,1,1,69.38148,69.38148
317,46,71500,2,5,5,Евроремонт,Панельный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Алпомиш, улица Мирзо Улугбека",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.335863,69.335863
318,36,44500,1,3,4,Черновая отделка,Панельный,"город Ташкент, Чиланзарский район, квартал 20А",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.190237,69.190237
319,52,58000,1,9,9,Требует ремонта,Монолитный,"город Ташкент, Мирабадский район, махаллинский сход граждан Мовароуннахр, улица Нукус",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.274194,69.274194
320,205,157000,5,9,10,Евроремонт,Кирпичный,"Ташкентская область, городской посёлок Эшангузар, улица Нугманова",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.153209,69.153209
